"","time_horizon","total_wildland_area","houses_per_ha","house_price","agric_land_price","fire_fight_cost_per_ha","salvage_logging_cost_per_ha","output_1"
"718",36,165253,10.8732366040116,43902.3150393141,5111.10409396058,806.652913780383,1877.14880687759,-309779291.14718
"719",36,165253,2.55504380986094,106434.826490549,9643.05243991519,186.921304481372,2127.82252880876,-351301493.321327
"720",36,165253,1.88646542197093,29170.6155845404,855.941928929307,229.690136127571,1981.25393039593,-327406480.988506
"721",36,165253,1.90737928908784,46210.6967519379,10075.1544739781,437.999618843851,2006.72910014767,-331601223.540281
"722",36,165253,19.4104685744736,55667.0361725267,14320.9359272748,1492.28250463366,1946.89077288109,-318915117.56115
"723",36,165253,14.503371328325,38017.733991287,14086.6362396676,692.687029566185,2046.00227125723,-338107956.896541
"724",36,165253,11.320423888322,72531.2127969394,10944.3668695898,359.297529490888,1735.30534365824,-286764413.955555
"725",36,165253,1.85438517646398,27307.3544789995,7272.41745067117,136.927948993647,2041.12079460935,-337234982.898161
"726",36,165253,13.4724234362133,54963.6000662551,7513.46067817101,423.326245037564,2124.65270103597,-349710354.145534
"727",36,165253,1.3559337239014,57548.7949753566,4635.84498112164,67.0315286613159,1781.1399114107,-294332799.515182
"728",36,165253,1.14571302302647,22683.9779719885,12071.9581958983,1117.85636975779,1691.72736464402,-279508388.997015
"729",36,165253,19.1415183972102,62219.7882650235,6915.00955082324,2246.40400553558,1894.71250103526,-309362602.777454
"730",36,165253,14.4695610605879,34925.5373923959,12190.4469067364,616.142028822992,2057.78291843341,-339982263.363696
"731",36,165253,15.9458471009042,46037.2570201609,12653.0688978263,656.277324496477,1800.56434162815,-293864862.974875
"732",36,165253,11.6021433280315,138407.050125411,11677.7076972092,1112.34386245847,1881.28789640714,-310888468.744969
"733",36,165253,10.6709579392802,43806.8047894172,10678.4014172939,466.148082701904,2167.22464823528,-358139604.138609
"734",36,165253,16.5384838627418,86183.8698831574,11620.0097995186,953.551131520481,1827.26744303224,-301807459.037715
"735",36,165253,8.09182518203743,40035.6417993313,6037.13182396506,797.980691057066,1582.68411776501,-261533978.737701
"736",36,165253,1.69189553398173,19666.7967903673,2904.23805045554,421.401393925728,1786.73894038266,-295196567.313748
"737",36,165253,15.7015499825124,39426.4439831135,17631.9889816811,789.53222655837,1963.89931620235,-324515602.829737
"738",36,165253,8.42364690173417,234305.361243006,14379.3241526221,58.7274155598866,2093.63115755797,-345961791.765588
"739",36,165253,10.2306808461202,35192.7334151433,14252.406819375,959.978438571976,1875.05762598159,-309851552.133832
"740",36,165253,15.4873510981444,39361.3731149601,9939.37041149642,1112.50836413331,2030.64716540177,-335570536.024139
"741",36,165253,19.8011833757395,60643.681360111,10158.5613203965,32.8214303195268,1917.03464813609,-310165254.321907
"742",36,165253,2.01695265318267,24482.2250885658,8965.60694550507,859.309455535582,2030.13155741779,-335485295.035942
"743",36,165253,6.86063695761841,41194.8981834053,11235.5675114032,877.726280196517,1971.94413239329,-325829040.497108
"744",36,165253,9.23504004783463,72021.6925763171,14115.1561253539,1016.26694699889,1748.20591002787,-288895804.224753
"745",36,165253,11.9031985098263,25909.5587239273,17044.9955926121,883.551911960192,2071.69975430098,-340646858.444631
"746",36,165253,5.44898956697434,56900.3556993977,9829.59279467982,477.600821510302,2143.53019463389,-354224763.51057
"747",36,165253,15.7369099958334,23857.8856296405,13619.7932450076,177.259366666644,2183.56522739234,-360837171.843931
"748",36,165253,13.7090207753936,72485.707656422,9692.11505896764,4.36026814676848,1861.72851217967,-304769456.256866
"749",36,165253,7.09042912225705,33357.1117957016,8985.5318587796,817.735799340527,2189.98121335736,-361854317.528068
"750",36,165253,9.23044846048579,43974.3952058743,10918.3645354405,1636.29494422333,2136.24565490996,-352864084.606611
"751",36,165253,2.78984073293395,89151.2891520996,10358.7042025737,213.530866348981,2085.29657029032,-344601488.683462
"752",36,165253,5.25236696219072,29987.7502443146,17998.3220030974,86.8382992586152,1795.67682105552,-296718388.818663
"753",36,165253,5.10188637597021,46081.9444822941,4246.73544466453,360.263593205706,2052.89475269436,-339240259.312436
"754",36,165253,1.01118859152775,26604.4755355548,19398.7159990482,441.481721756488,2180.13984290631,-360274648.966757
"755",36,165253,14.0947190956445,63197.7472976281,18230.6824524602,968.33187889789,2057.18982847801,-339955479.665683
"756",36,165253,2.86353102498688,30253.0780774118,3887.44662917344,829.061680477273,1993.37062426229,-329296185.798961
"757",36,165253,9.7920895223273,63943.8027594489,6916.85334894073,284.942269607106,2160.75891391031,-356881118.714445
"758",36,165253,4.14735456542112,42358.4079834566,15543.3162627339,145.774058057745,1913.86719857106,-315810368.291713
"759",36,165253,9.6162967412034,31254.7216736788,9713.39484656361,647.28542582006,1714.75935914825,-282577792.33133
"760",36,165253,15.238334933063,31714.9843407051,10802.9708327354,123.009102990646,1985.92519056052,-327976092.950618
"761",36,165253,15.0158093085047,16608.5301153339,4613.26733727563,182.539556583559,2105.13794423387,-347870435.337839
"762",36,165253,12.539925585594,63081.8705950433,12694.4563531409,901.82606819885,2120.78177494319,-350465545.770245
"763",36,165253,9.16565450730268,68554.9994599243,9911.00379184428,529.711196381625,1813.21861424351,-298592253.733999
"764",36,165253,12.5599106243346,58071.0484881278,25620.7965854594,1248.21601064037,1980.87132014236,-326666962.429889
"765",36,165253,9.48007215110119,58529.6862585092,12252.0697606006,632.466171488058,1998.67108421429,-330286392.679664
"766",36,165253,8.60306666581891,106476.172390529,12662.4156454366,722.025622608282,1698.32141779257,-280265964.281844
"767",36,165253,19.6547918728087,39635.0041316788,12699.3545294984,718.451928202881,2051.16378654345,-338929959.60846
"768",36,165253,12.3237950837007,32658.3772032173,4355.13988353214,1459.28442377675,2093.40064173843,-345933179.107216
"769",36,165253,13.9512309289537,76210.2379084375,6437.02876374378,200.04341585028,2022.12476233286,-334162164.174884
"770",36,165253,1.77006763280369,32435.5898212413,6707.9951701327,726.749929839921,1841.17066683066,-304133759.328998
"771",36,165253,16.424755868176,77620.0650421388,12992.0259169519,1305.71916234798,1696.2864735635,-280314326.772488
"772",36,165253,7.92712091100402,63794.7326981536,12619.5938754051,141.792555970023,2024.49385637306,-331948314.997377
"773",36,165253,14.2248816420324,36924.2518722872,3203.91691006541,1189.09799783045,1977.96942179229,-326863738.912349
"774",36,165253,3.95992115964182,56514.3388201233,3495.49321649021,723.878338339512,1938.69788092859,-320372628.891533
"775",36,165253,13.4476869762177,74107.925244157,10298.704589061,612.152139946784,1971.19059758417,-325716542.918385
"776",36,165253,19.8655080315424,35832.1063633048,17613.5421097836,319.657032099905,2082.85024796385,-344197179.228818
"777",36,165253,8.32523088443559,28910.156173104,8939.81460893613,642.585685092305,1956.63070322804,-322852712.346939
"778",36,165253,14.1010771770962,43710.3000517215,11360.9020637558,1027.15559025177,1913.71868337019,-310041631.779301
"779",36,165253,8.65192053720821,27208.1792394517,12703.8257206885,1173.71138200601,2152.60118655836,-355678986.845331
"780",36,165253,7.82633202734869,26950.8934871969,12169.8578984618,71.8253834379778,2013.71023608543,-332575864.134815
"781",36,165253,14.2683168199146,43392.4340125439,5066.1727062094,409.029215219123,1968.48777006122,-325291603.481054
"782",36,165253,17.0001955459826,77138.1837756894,11031.1880789867,355.248876323904,1872.20548652662,-309387555.955899
"783",36,165253,15.9910875610542,66445.1457838687,10120.5187596569,889.413169692582,1981.79114631615,-327433509.811209
"784",36,165253,19.5435870846268,40915.1851233144,9582.43520056869,9.18537618304572,2192.55627357026,-362303554.263881
